generation time,receive time,difference
1688030638,1688030783,145
1688030818,1688030973,155
1688031058,1688031220,162
1688031238,1688031384,146
1688031418,1688031585,167
1688031898,1688032022,124
1688032078,1688032246,168
1688032318,1688032467,149
1688032798,1688032933,135
1688032978,1688033117,139
1688033218,1688033367,149
1688033398,1688033541,143
1688033638,1688033787,149
1688033758,1688033973,215
1688033938,1688034176,238
1688034238,1688034386,148
1688034418,1688034553,135
1688034538,1688034741,203
1688034899,1688035024,125
1688035019,1688035195,176
1688034959,1688035357,398
1688035319,1688035507,188
1688035439,1688035671,232
1688035619,1688035823,204
1688035739,1688036015,276
1688035919,1688036189,270
1688036099,1688036330,231
1688036279,1688036529,250
1688036519,1688036688,169
1688035679,1688036840,1161
1688036759,1688037023,264
1688036939,1688037211,272
1688037359,1688037494,135
1688037599,1688037766,167
1688037839,1688037985,146
1688037959,1688038158,199
1688038379,1688038532,153
1688038619,1688038754,135
1688038799,1688038950,151
1688038919,1688039111,192
1688039099,1688039274,175
1688039339,1688039515,176
1688039519,1688039666,147
1688039639,1688039847,208
1688039999,1688040144,145
1688040359,1688040514,155
1688040539,1688040704,165
1688040899,1688041035,136
1688041019,1688041205,186
1688041379,1688041527,148
1688041679,1688041828,149
1688041919,1688042061,142
1688042039,1688042235,196
1688042219,1688042376,157
1688042099,1688042555,456
1688042639,1688042799,160
1688042879,1688043036,157
