generation time,receive time,difference
1688046987,1688047059,72
1688047047,1688047139,92
1688047137,1688047216,79
1688047197,1688047294,97
1688047257,1688047375,118
1688047167,1688047454,287
1688047107,1688047535,428
1688047077,1688047615,538
1688047017,1688047694,677
1688047706,1688047780,74
1688047766,1688047859,93
1688047826,1688047937,111
1688047886,1688048017,131
1688048006,1688048095,89
1688048066,1688048174,108
1688048126,1688048253,127
1688048246,1688048331,85
1688048186,1688048412,226
1688047946,1688048490,544
1688048502,1688048574,72
1688048592,1688048666,74
1688048682,1688048755,73
1688048772,1688048844,72
1688048862,1688048936,74
1688048952,1688049025,73
1688049042,1688049115,73
1688049133,1688049206,73
1688049223,1688049295,72
